mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,8,800,600,200,220.000,112,0.008982,0.011,6.585,6.596,111.33
rain,8,800,600,200,220.000,113,0.006606,0.010,16.450,16.460,151.38
rain,8,800,600,200,220.000,114,0.016469,0.009,1.114,1.124,60.72
rain,8,800,600,200,220.000,115,0.001133,0.009,8.965,8.974,882.61
rain,8,800,600,200,220.000,116,0.008983,0.009,6.794,6.803,111.32
rain,8,800,600,200,220.000,117,0.006812,0.009,11.234,11.244,146.80
rain,8,800,600,200,220.000,118,0.011252,0.013,5.326,5.339,88.87
rain,8,800,600,200,220.000,119,0.005349,0.009,16.051,16.060,186.95
rain,8,800,600,200,220.000,120,0.016069,0.009,0.840,0.849,62.23
rain,8,800,600,200,220.000,121,0.000859,0.009,9.932,9.941,1164.14
rain,8,800,600,200,220.000,122,0.009953,0.011,6.518,6.528,100.47
rain,8,800,600,200,220.000,123,0.006540,0.010,10.665,10.675,152.91
rain,8,800,600,200,220.000,124,0.010687,0.009,6.057,6.066,93.57
rain,8,800,600,200,220.000,125,0.006078,0.012,10.765,10.777,164.53
rain,8,800,600,200,220.000,126,0.010822,0.009,5.853,5.862,92.40
rain,8,800,600,200,220.000,127,0.005871,0.008,16.380,16.388,170.33
rain,8,800,600,200,220.000,128,0.016398,0.008,1.316,1.324,60.98
rain,8,800,600,200,220.000,129,0.001333,0.008,15.061,15.069,750.19
rain,8,800,600,200,220.000,130,0.015078,0.008,0.595,0.603,66.32
rain,8,800,600,200,220.000,131,0.000613,0.008,10.135,10.143,1631.32
rain,8,800,600,200,220.000,132,0.010152,0.008,6.485,6.493,98.50
rain,8,800,600,200,220.000,133,0.006502,0.009,17.805,17.815,153.80
rain,8,800,600,200,220.000,134,0.017829,0.010,1.180,1.190,56.09
rain,8,800,600,200,220.000,135,0.001199,0.009,13.621,13.630,834.03
rain,8,800,600,200,220.000,136,0.013640,0.010,0.590,0.599,73.31
rain,8,800,600,200,220.000,137,0.000608,0.009,9.896,9.905,1644.74
rain,8,800,600,200,220.000,138,0.009921,0.014,6.866,6.880,100.80
rain,8,800,600,200,220.000,139,0.006889,0.009,17.784,17.793,145.16
rain,8,800,600,200,220.000,140,0.017802,0.010,1.014,1.024,56.17
rain,8,800,600,200,220.000,141,0.001033,0.010,13.738,13.748,968.05
rain,8,800,600,200,220.000,142,0.013757,0.009,0.665,0.674,72.69
rain,8,800,600,200,220.000,143,0.000683,0.009,9.600,9.608,1464.13
rain,8,800,600,200,220.000,144,0.009617,0.009,7.179,7.188,103.98
rain,8,800,600,200,220.000,145,0.007198,0.008,16.298,16.307,138.93
rain,8,800,600,200,220.000,146,0.016316,0.009,0.769,0.778,61.29
rain,8,800,600,200,220.000,147,0.000787,0.010,9.308,9.318,1270.65
rain,8,800,600,200,220.000,148,0.009328,0.009,6.956,6.965,107.20
rain,8,800,600,200,220.000,149,0.006974,0.008,16.162,16.171,143.39
