mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,0,800,600,200,220.000,117,0.007729,0.060,8.222,8.282,129.38
rain,0,800,600,200,220.000,118,0.008296,0.017,8.298,8.316,120.54
rain,0,800,600,200,220.000,119,0.008332,0.023,12.170,12.193,120.02
rain,0,800,600,200,220.000,120,0.012206,0.017,4.491,4.509,81.93
rain,0,800,600,200,220.000,121,0.004521,0.016,9.965,9.981,221.19
rain,0,800,600,200,220.000,122,0.009995,7.551,0.438,7.988,100.05
rain,0,800,600,200,220.000,123,0.008002,0.021,10.072,10.093,124.97
rain,0,800,600,200,220.000,124,0.010207,0.023,5.065,5.089,97.97
rain,0,800,600,200,220.000,125,0.005101,0.016,8.235,8.251,196.04
rain,0,800,600,200,220.000,126,0.008263,0.016,8.448,8.464,121.02
rain,0,800,600,200,220.000,127,0.008787,0.020,9.664,9.684,113.80
rain,0,800,600,200,220.000,128,0.009697,0.022,6.564,6.586,103.12
rain,0,800,600,200,220.000,129,0.006599,0.021,9.255,9.276,151.54
rain,0,800,600,200,220.000,130,0.009288,0.025,7.368,7.393,107.67
rain,0,800,600,200,220.000,131,0.007405,0.016,8.303,8.318,135.04
rain,0,800,600,200,220.000,132,0.008331,0.016,8.398,8.414,120.03
rain,0,800,600,200,220.000,133,0.008427,0.023,10.063,10.086,118.67
rain,0,800,600,200,220.000,134,0.010099,0.033,10.827,10.859,99.02
rain,0,800,600,200,220.000,135,0.010873,0.015,3.960,3.975,91.97
rain,0,800,600,200,220.000,136,0.003987,0.017,12.480,12.497,250.82
rain,0,800,600,200,220.000,137,0.012518,0.026,4.165,4.190,79.88
rain,0,800,600,200,220.000,138,0.004203,0.015,12.376,12.391,237.93
rain,0,800,600,200,220.000,139,0.012414,0.015,4.300,4.314,80.55
rain,0,800,600,200,220.000,140,0.004349,0.058,12.420,12.478,229.94
rain,0,800,600,200,220.000,141,0.012493,0.014,6.077,6.092,80.04
rain,0,800,600,200,220.000,142,0.006120,0.558,9.543,10.100,163.40
rain,0,800,600,200,220.000,143,0.010122,1.995,2.633,4.628,98.79
rain,0,800,600,200,220.000,144,0.004642,0.017,12.446,12.463,215.42
rain,0,800,600,200,220.000,145,0.012476,0.015,4.183,4.198,80.15
rain,0,800,600,200,220.000,146,0.004211,0.023,19.821,19.844,237.47
rain,0,800,600,200,220.000,147,0.019861,39.060,0.405,39.466,50.35
rain,0,800,600,200,220.000,148,0.039479,0.021,3.131,3.152,25.33
rain,0,800,600,200,220.000,149,0.003164,0.021,4.721,4.741,316.06
rain,0,800,600,200,220.000,150,0.004759,0.023,0.453,0.476,210.13
rain,0,800,600,200,220.000,151,0.000487,0.016,0.430,0.446,2053.39
rain,0,800,600,200,220.000,152,0.000457,0.015,0.412,0.426,2188.18
rain,0,800,600,200,220.000,153,0.000438,0.015,0.412,0.426,2283.11
rain,0,800,600,200,220.000,154,0.000437,0.015,6.185,6.200,2288.33
rain,0,800,600,200,220.000,155,0.006211,0.015,8.192,8.207,161.00
rain,0,800,600,200,220.000,156,0.008219,0.016,12.179,12.195,121.67
rain,0,800,600,200,220.000,157,0.012210,0.016,4.451,4.466,81.90
rain,0,800,600,200,220.000,158,0.004478,0.015,11.678,11.693,223.31
rain,0,800,600,200,220.000,159,0.011727,0.016,5.334,5.350,85.27
rain,0,800,600,200,220.000,160,0.005363,0.015,12.574,12.589,186.46
rain,0,800,600,200,220.000,161,0.012607,0.043,3.630,3.673,79.32
rain,0,800,600,200,220.000,162,0.003690,0.019,12.404,12.423,271.00
rain,0,800,600,200,220.000,163,0.012435,0.016,4.766,4.782,80.42
rain,0,800,600,200,220.000,164,0.004794,0.015,11.490,11.506,208.59
rain,0,800,600,200,220.000,165,0.011537,0.030,4.562,4.591,86.68
rain,0,800,600,200,220.000,166,0.004602,0.019,12.608,12.627,217.30
rain,0,800,600,200,220.000,167,0.012642,0.018,4.050,4.067,79.10
rain,0,800,600,200,220.000,168,0.004080,0.015,11.944,11.959,245.10
rain,0,800,600,200,220.000,169,0.011973,0.015,4.662,4.678,83.52
rain,0,800,600,200,220.000,170,0.004691,0.018,12.815,12.833,213.17
rain,0,800,600,200,220.000,171,0.012846,0.017,4.380,4.396,77.85
rain,0,800,600,200,220.000,172,0.004409,0.016,18.899,18.916,226.81
rain,0,800,600,200,220.000,173,0.018932,1.411,0.654,2.065,52.82
rain,0,800,600,200,220.000,174,0.002081,0.017,7.068,7.085,480.54
rain,0,800,600,200,220.000,175,0.007097,0.137,4.601,4.738,140.90
rain,0,800,600,200,220.000,176,0.004749,0.016,11.374,11.390,210.57
rain,0,800,600,200,220.000,177,0.011402,0.468,4.810,5.278,87.70
rain,0,800,600,200,220.000,178,0.005290,0.016,11.414,11.430,189.04
rain,0,800,600,200,220.000,179,0.011442,0.473,4.737,5.209,87.40
rain,0,800,600,200,220.000,180,0.005221,0.121,18.745,18.866,191.53
rain,0,800,600,200,220.000,181,0.018878,0.136,0.868,1.004,52.97
rain,0,800,600,200,220.000,182,0.001015,0.100,8.103,8.203,985.22
rain,0,800,600,200,220.000,183,0.008219,0.017,5.251,5.268,121.67
rain,0,800,600,200,220.000,184,0.005280,0.016,11.079,11.094,189.39
rain,0,800,600,200,220.000,185,0.011106,0.016,5.646,5.663,90.04
rain,0,800,600,200,220.000,186,0.005674,0.015,11.037,11.053,176.24
rain,0,800,600,200,220.000,187,0.011065,0.016,5.617,5.633,90.38
rain,0,800,600,200,220.000,188,0.005644,0.016,11.187,11.203,177.18
rain,0,800,600,200,220.000,189,0.011253,0.329,5.162,5.490,88.87
rain,0,800,600,200,220.000,190,0.005503,0.015,11.125,11.141,181.72
rain,0,800,600,200,220.000,191,0.011153,0.017,5.507,5.524,89.66
rain,0,800,600,200,220.000,192,0.005537,0.025,11.112,11.138,180.60
rain,0,800,600,200,220.000,193,0.011150,0.016,5.483,5.499,89.69
rain,0,800,600,200,220.000,194,0.005512,0.015,11.441,11.456,181.42
rain,0,800,600,200,220.000,195,0.011468,0.339,4.856,5.195,87.20
rain,0,800,600,200,220.000,196,0.005206,0.179,10.799,10.978,192.09
