exec,mode,threads_req,threads_eff,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
omp,rain,0,16,1280,720,300,160.000,207,0.008893,0.197,5.192,5.390,112.45
omp,rain,0,16,1280,720,300,160.000,208,0.005452,0.087,6.575,6.661,183.42
omp,rain,0,16,1280,720,300,160.000,209,0.006785,0.195,5.864,6.060,147.38
omp,rain,0,16,1280,720,300,160.000,210,0.006139,0.118,5.103,5.221,162.89
omp,rain,0,16,1280,720,300,160.000,211,0.005282,0.098,5.276,5.374,189.32
omp,rain,0,16,1280,720,300,160.000,212,0.005464,0.225,6.284,6.509,183.02
omp,rain,0,16,1280,720,300,160.000,213,0.006595,0.118,5.079,5.197,151.63
omp,rain,0,16,1280,720,300,160.000,214,0.005284,0.109,6.791,6.900,189.25
omp,rain,0,16,1280,720,300,160.000,215,0.006988,0.174,5.907,6.080,143.10
omp,rain,0,16,1280,720,300,160.000,216,0.006130,0.102,4.925,5.027,163.13
omp,rain,0,16,1280,720,300,160.000,217,0.005111,0.175,7.046,7.220,195.66
omp,rain,0,16,1280,720,300,160.000,218,0.007297,0.190,5.007,5.197,137.04
omp,rain,0,16,1280,720,300,160.000,219,0.005265,0.102,4.433,4.535,189.93
omp,rain,0,16,1280,720,300,160.000,220,0.004588,0.116,6.515,6.631,217.96
omp,rain,0,16,1280,720,300,160.000,221,0.006701,0.124,4.626,4.750,149.23
omp,rain,0,16,1280,720,300,160.000,222,0.004815,0.096,4.320,4.417,207.68
omp,rain,0,16,1280,720,300,160.000,223,0.004483,0.129,6.395,6.524,223.06
omp,rain,0,16,1280,720,300,160.000,224,0.006592,0.119,4.909,5.028,151.70
omp,rain,0,16,1280,720,300,160.000,225,0.005661,0.047,4.404,4.451,176.65
omp,rain,0,16,1280,720,300,160.000,226,0.004498,0.156,6.932,7.088,222.32
omp,rain,0,16,1280,720,300,160.000,227,0.007171,0.162,4.394,4.557,139.45
omp,rain,0,16,1280,720,300,160.000,228,0.004604,0.060,4.358,4.418,217.20
omp,rain,0,16,1280,720,300,160.000,229,0.004496,0.102,6.384,6.485,222.42
omp,rain,0,16,1280,720,300,160.000,230,0.006559,0.136,4.611,4.747,152.46
omp,rain,0,16,1280,720,300,160.000,231,0.004808,0.082,4.277,4.358,207.99
omp,rain,0,16,1280,720,300,160.000,232,0.004420,0.112,6.074,6.185,226.24
omp,rain,0,16,1280,720,300,160.000,233,0.006253,0.123,4.842,4.965,159.92
omp,rain,0,16,1280,720,300,160.000,234,0.005025,0.096,4.887,4.984,199.00
omp,rain,0,16,1280,720,300,160.000,235,0.005043,0.067,6.761,6.829,198.29
omp,rain,0,16,1280,720,300,160.000,236,0.006925,0.159,5.260,5.419,144.40
omp,rain,0,16,1280,720,300,160.000,237,0.005476,0.115,4.318,4.432,182.62
omp,rain,0,16,1280,720,300,160.000,238,0.004492,0.109,6.094,6.203,222.62
omp,rain,0,16,1280,720,300,160.000,239,0.006282,0.126,4.733,4.859,159.18
omp,rain,0,16,1280,720,300,160.000,240,0.004919,0.112,4.436,4.549,203.29
omp,rain,0,16,1280,720,300,160.000,241,0.004622,0.113,6.147,6.260,216.36
omp,rain,0,16,1280,720,300,160.000,242,0.006343,0.134,5.091,5.225,157.65
omp,rain,0,16,1280,720,300,160.000,243,0.005290,0.107,4.810,4.917,189.04
omp,rain,0,16,1280,720,300,160.000,244,0.004974,0.101,5.909,6.010,201.05
omp,rain,0,16,1280,720,300,160.000,245,0.006117,0.179,5.668,5.847,163.48
omp,rain,0,16,1280,720,300,160.000,246,0.005911,0.091,4.592,4.683,169.18
omp,rain,0,16,1280,720,300,160.000,247,0.004742,0.090,6.152,6.242,210.88
omp,rain,0,16,1280,720,300,160.000,248,0.006351,0.143,5.254,5.397,157.46
omp,rain,0,16,1280,720,300,160.000,249,0.005448,0.069,4.192,4.260,183.55
omp,rain,0,16,1280,720,300,160.000,250,0.004318,0.086,5.464,5.550,231.59
omp,rain,0,16,1280,720,300,160.000,251,0.005619,0.145,6.289,6.434,177.97
omp,rain,0,16,1280,720,300,160.000,252,0.006529,0.126,4.284,4.410,153.16
omp,rain,0,16,1280,720,300,160.000,253,0.004456,0.073,6.485,6.558,224.42
omp,rain,0,16,1280,720,300,160.000,254,0.006644,0.134,5.220,5.354,150.51
omp,rain,0,16,1280,720,300,160.000,255,0.005420,0.139,4.764,4.903,184.50
omp,rain,0,16,1280,720,300,160.000,256,0.004967,0.109,6.212,6.321,201.33
omp,rain,0,16,1280,720,300,160.000,257,0.006431,0.182,5.338,5.520,155.50
omp,rain,0,16,1280,720,300,160.000,258,0.005573,0.096,4.397,4.492,179.44
omp,rain,0,16,1280,720,300,160.000,259,0.004551,0.064,6.107,6.171,219.73
